Name	GroundTruth	Maestro	GiantMIDI-Piano
Liszt, Hungarian Rhapsody S. 244, No. 9	liszt_hungarian_rhapsody_no_9_smythe.mid	MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--4.mid	Liszt_Hungarian_Rhapsody_No9_S244_9_JZfp5VsyIsc.mid
Liszt, Don Juan, S. 148	liszt_donjuan_part1.mid	MIDI-Unprocessed_07_R1_2006_01-04_ORIG_MID--AUDIO_07_R1_2006_04_Track04_wav_part1.mid	Liszt_Reminiscences_de_Don_Juan_S418_JI6JfJXcUjU_part1.mid
Schubert, Fantasie in C major, D. 760, Mov. 1	schubert_fantasie_D760_mov_1.mid	MIDI-Unprocessed_080_PIANO080_MID--AUDIO-split_07-09-17_Piano-e_1-06_wav--3_cut_mov_1.mid	Schubert_Fantasie_in_C_major_D760_lR43Ti4w5MM_cut_mov_1.mid
Schubert, Fantasie in C major, D. 760, Mov. 2	schubert_fantasie_D760_mov_2.mid	MIDI-Unprocessed_080_PIANO080_MID--AUDIO-split_07-09-17_Piano-e_1-06_wav--3_cut_mov_2.mid	Schubert_Fantasie_in_C_major_D760_lR43Ti4w5MM_cut_mov_2.mid
Schubert, Fantasie in C major, D. 760, Mov. 3	schubert_fantasie_D760_mov_3.mid	MIDI-Unprocessed_080_PIANO080_MID--AUDIO-split_07-09-17_Piano-e_1-06_wav--3_cut_mov_3.mid	Schubert_Fantasie_in_C_major_D760_lR43Ti4w5MM_cut_mov_3.mid
Schubert, Fantasie in C major, D. 760, Mov. 4	schubert_fantasie_D760_mov_4.mid	MIDI-Unprocessed_080_PIANO080_MID--AUDIO-split_07-09-17_Piano-e_1-06_wav--3_cut_mov_4.mid	Schubert_Fantasie_in_C_major_D760_lR43Ti4w5MM_cut_mov_4.mid
Schubert, Impromptus, D. 935, No. 4	schubert_impromptus_op142_D935_no_4.mid	MIDI-Unprocessed_072_PIANO072_MID--AUDIO-split_07-08-17_Piano-e_1-06_wav--2.mid	Schubert_Impromptus_D935_06OBNoeKWBw_cut_no_4.mid
Schubert, Impromptus, D. 899, No. 4	schubert_impromptu_D899_no_4_dery_cut.mid	MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--3.mid	Schubert_Impromptus_D899_24DugWBRkYg_cut_no_4.mid
Schubert, Sonata in A major, D664, Mov. 1	schubert_sonata_D664_mov_1_yogore.mid	MIDI-Unprocessed_078_PIANO078_MID--AUDIO-split_07-09-17_Piano-e_1-02_wav--2_cut_mov_1.mid	Schubert_Piano_Sonata_in_A_major_D664_HsMHHlDYlMM_cut_mov_1.mid
Schubert, Sonata in A major, D664, Mov. 2	schubert_sonata_D664_mov_2_yogore.mid	MIDI-Unprocessed_078_PIANO078_MID--AUDIO-split_07-09-17_Piano-e_1-02_wav--2_cut_mov_2.mid	Schubert_Piano_Sonata_in_A_major_D664_HsMHHlDYlMM_cut_mov_2.mid
Schubert, Sonata in A major, D664, Mov. 3	schubert_sonata_D664_mov_3_yogore.mid	MIDI-Unprocessed_078_PIANO078_MID--AUDIO-split_07-09-17_Piano-e_1-02_wav--2_cut_mov_3.mid	Schubert_Piano_Sonata_in_A_major_D664_HsMHHlDYlMM_cut_mov_3.mid
Schubert, Sonata in A minor, D 537, Mov. 1	schubert_sonata_D537_mov_1_yogore_cut.mid	MIDI-Unprocessed_083_PIANO083_MID--AUDIO-split_07-09-17_Piano-e_2_-06_wav--3.mid	Schubert_Franz_Piano_Sonata_in_A_minor_D537_8uNJOr6B9Lc_cut_mov_1.mid
Chopin, Etude, Op. 10, No. 9	chopin_etude_op_10_no_9.mid	MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_11_Track11_wav.mid	Chopin_Etudes_Op10_g0hoN6_HDVU_no_9_cut.mid
Chopin, Etude, Op. 10, No. 12	chopin_etude_op_10_no_12.mid	MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--4.mid	Chopin_Etudes_Op10_g0hoN6_HDVU_no_12_cut.mid
Chopin, Polonaise in F-sharp minor, Op. 44	chopin_polonaise_op_44_smythe.mid	MIDI-Unprocessed_15_R1_2006_01-05_ORIG_MID--AUDIO_15_R1_2006_02_Track02_wav.mid	Chopin_Polonaise_in_F-sharp_minor_Op44_ehm_kDU563Q.mid
Chopin, Polonaise-fantaisie in A-flat major, Op. 61	chopin_polonaise_fantasie_op_61_galimberti.mid	MIDI-Unprocessed_12_R1_2008_01-04_ORIG_MID--AUDIO_12_R1_2008_wav--4.mid	Chopin_Polonaise-fantaisie_Op61_177qJoCI9Zw.mid
Bach, Prelude and Fugue in G-sharp minor, BWV 863	bach_bwv_863.mid	MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_07_Track07_wav.mid	Bach_Prelude_and_Fugue_in_G-sharp_minor_BWV_863_9tezjkEkzW4.mid
Bach, Prelude and Fugue in F-sharp major, BWV 858, Prelude	bach_bwv_858_a.mid	MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--1_a.mid	Bach_Prelude_and_Fugue_in_F-sharp_major_BWV_858_lJCpUW1Q1yc_a.mid
Bach, Prelude and Fugue in A-flat major, BWV 862, Prelude	bach_bwv_862_a.mid	MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1_a.mid	Bach_Prelude_and_Fugue_in_A-flat_major_BWV862_gCL5Zvnt0TU_a.mid
Piano Sonata No. 2, Mov. 1	brahms_piano_sonata_2_hisamori_mov_1.mid	MIDI-Unprocessed_15_R1_2009_01-02_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_02_WAV_mov_1.mid	Brahms_Johannes_Piano_Sonata_No2_Op2_RhZqUE63B9g_mov_1.mid
Piano Sonata No. 2, Mov. 2	brahms_piano_sonata_2_hisamori_mov_2.mid	MIDI-Unprocessed_15_R1_2009_01-02_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_02_WAV_mov_2.mid	Brahms_Johannes_Piano_Sonata_No2_Op2_RhZqUE63B9g_mov_2.mid
Piano Sonata No. 2, Mov. 3	brahms_piano_sonata_2_hisamori_mov_3.mid	MIDI-Unprocessed_15_R1_2009_01-02_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_02_WAV_mov_3.mid	Brahms_Johannes_Piano_Sonata_No2_Op2_RhZqUE63B9g_mov_3.mid
Piano Sonata No. 2, Mov. 4	brahms_piano_sonata_2_hisamori_mov_4.mid	MIDI-Unprocessed_15_R1_2009_01-02_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_02_WAV_mov_4.mid	Brahms_Johannes_Piano_Sonata_No2_Op2_RhZqUE63B9g_mov_4.mid
Haydn, Keyboard Sonata in E-Flat Major, Hob. XVI/49	haydn_sonata_hob_xvi_49_iscenko_cut_mov_1.mid	MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_03_Track03_wav.mid	Haydn_Keyboard_Sonata_in_E-flat_major_Hob_XVI_49_mWF-48jIrSU_cut_mov_1.mid
Haydn, Keyboard Sonata in C minor, Hob. XVI: 20	haydn_sonata_hob_xvi_20_iscenko_cut_mov_1.mid	ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--2.mid	Haydn_Keyboard_Sonata_in_C_minor_Hob_XVI_20_hwOlGL5GJFU_cut_mov_1.mid
Beethoven, Rondo a Capriccio, Op. 129	beethoven_rondo_a_capriccio_op_129_smythe.mid	MIDI-Unprocessed_Recital13-15_MID--AUDIO_14_R1_2018_wav--3.mid	Beethoven_Rondo_a_capriccio_Op129_8XFMZs_7nOA.mid
Beethoven, Sonata No. 10 in G major, Op. 14	beethoven_sonata_no_10_hisamori_cut_mov_1.mid	MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_13_Track13_wav.mid	Beethoven_Piano_Sonata_No_10_Op_14_No_2_fQqNsTUvqCY_cut_mov_1.mid
Beethoven, Sonata No. 12 in A-flat major, Op. 26	beethoven_sonata_no_12_hisamori_cut_mov_1.mid	MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--2.mid	Beethoven_Piano_Sonata_No_12_Op_26_Ncs9nJNuFGA_cut_mov_1.mid
Beethoven, Sonata No. 15 in D major, Op. 28	beethoven_sonata_no_15_hisamori_cut_mov_1.mid	MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--2.mid	Beethoven_Piano_Sonata_No_15_Op_28_IblxeFAcqrc_cut_mov_1.mid
Beethoven, Sonata No. 16 in G major, Op. 31, No. 1	beethoven_sonata_no_16_hisamori_cut_mov_1.mid	MIDI-Unprocessed_046_PIANO046_MID--AUDIO-split_07-06-17_Piano-e_2-02_wav--2.mid	Beethoven_Piano_Sonata_No_16_Op_31_No_1_q7LXQVxd6xA_cut_mov_1.mid
Beethoven, Sonata No. 18 in E-flat major, Op. 31, No. 3	beethoven_sonata_no_18_cut_mov_1.mid	MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--2.mid	Beethoven_Piano_Sonata_No_18_Op_31_No_3_P-Q5aBAw-T4_cut_mov_1.mid
Beethoven, Sonata No. 3 in C major, Op. 2, No. 3	beethoven_sonata_no_3_cut_mov_1.mid	MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--2.mid	Beethoven_Piano_Sonata_No_3_Op_2_No_3_3asWeutbY0c_cut_midi.mid
Schumann, Toccata in C major, Op. 7	schumann_toccata_op_7_siu_cut.mid	MIDI-Unprocessed_06_R1_2006_01-04_ORIG_MID--AUDIO_06_R1_2006_02_Track02_wav.mid	Schumann_Robert_Toccata_Op_7_EUHobIa3TL0_cut.mid
